"Longitude","Latitude"
-91.6134213,17.7466001
-91.7275947,17.7465999
-91.6922999,17.8213448
-94.0429688,18.1027205
-93.6114979,17.3648314
-92.686631,17.785355
-92.2095947,18.2574425
-92.1021046,18.092047
-92.597065,17.7555123
-93.1319296,18.4315531
-93.2405121,18.4296014
-92.8105259,17.4449641
-91.5701418,17.4846441
-91.326583,17.4371156
-91.51226,17.46633
-99.0620685,22.9817255
-99.27728,23.12722
-99.1951784,23.1196405
-99.227323,23.0667743
-99.217201,22.5364727
-99.3466844,24.6061227
-96.39123,19.547541
-97.24389,19.76306
-96.1088026,19.0568511
-96.876449,18.9270674
-96.8604684,18.8556607
-97.2239987,19.843106
-95.06108,18.36391
-94.92861,18.37306
-95.06768,18.4509
-95.01353,18.35763
-94.96602,18.44072
-95.117206,18.416658
-96.9482813,19.4695501
-96.9038558,19.3821258
-97.112765,19.0644654
-96.9430161,18.9005212
-96.733306,19.50429
-96.8202024,19.4406951
-96.7147808,19.359237
-96.7796413,19.4692638
-96.9723272,19.1768282
-94.4479984,18.0142775
-97.0520639,18.8431307
-96.7425464,19.3203313
-94.765756,17.2554068
-96.0581017,18.9588959
-94.2338562,17.4389324
-94.3519773,17.8564545
-96.9176531,19.9695573
-94.4084639,18.0710814
-96.8741584,19.656228
-94.8623761,17.9156386
-97.0955925,18.8698183
-96.0380583,18.1864993
-94.66897,18.17518
-97.320393,20.449824
-96.5409462,19.1760491
-96.4466974,19.2803042
-96.5445042,19.3396939
-96.6034668,19.2879708
-95.2123462,18.4483263
-95.15562,18.5564
-95.134724,18.514449
-95.1896803,18.7068543
-95.67921,17.723728
-94.88958,18.29839
-94.78562,18.43727
-94.7960043,17.9672215
-95.5225221,18.4602454
-96.8097579,19.1715103
-96.9756746,19.5402166
-96.8971361,19.3281928
-97.1018353,18.7946879
-96.880979,19.212979
-97.3053516,20.9153058
-96.3222671,19.4170995
-96.3292406,19.4937521
-96.9333279,19.5650269
-96.9174933,19.5214952
-96.9945091,19.401592
-96.822697,19.0557518
-96.6826959,19.0700592
-88.1781962,21.0198332
-90.29965,20.98952
-90.3652459,20.8755356
-89.01611,20.1725
-88.5129511,20.5681287
-88.4560397,20.592481
-87.903415,20.809167
-87.9666858,20.6596914
-89.296111,20.737438
-90.0542819,21.1609106
-89.76973,20.39365
-89.7196246,21.1350186
-89.6393609,21.0449582
-89.60727,20.992575
-89.578743,20.1718282
-87.992148,21.603654
-88.105545,21.6081209
-88.1587963,21.599951
-88.2452322,21.4226611
-88.947338,20.507807
-89.3844959,20.6233425
-88.2645004,20.6023546
-88.1829965,20.9503384
-88.5179394,20.7309398
-88.588625,20.698628
-88.5490751,20.6615782
-87.7112,21.4121
-87.7248645,21.2120997
-87.874531,21.40902
-87.674534,21.1223
-87.6074394,21.2787056
-88.101511,21.367088
-88.1254578,20.7464824
-88.197381,20.691879
-88.116234,20.700166
-88.1624937,20.5988028
-88.2426703,20.6608453
-88.2310402,20.7440644
-88.8326275,20.5501874
-90.818523,16.3274653
-95.9375257,18.4179959
-96.0646248,15.7945799
-92.8883743,15.4948745
-94.5561991,18.0086352
-96.90264,18.83185
-88.1927086,21.5612535
-89.89258,18.03653
-99.6723366,21.306059
-93.646946,16.1749128
-105.5754375,20.6998251
-92.8675795,15.5690545
-92.231586,14.6752607
-92.8277779,15.6114642
-92.2490159,14.8939041
-94.3881798,18.015712
-100.3058624,25.3862166
-87.3167142,20.9367002
-92.9306768,17.5277234
-89.0404129,18.2259404
-93.102787,16.841983
-99.1760731,21.0241042
-96.0979958,15.7591616
-89.444344,18.398714
-92.8030871,15.7970928
-95.0618896,18.4969921
-103.5061868,19.5313839
-92.7562165,17.4432723
-87.7436829,19.7175858
-99.1427332,23.1122103
-93.219053,18.178284
-95.1131387,18.3061452
-94.1116118,18.0416252
-94.5084686,17.9753586
-89.825178,18.520749
-93.88203,18.28474
-92.0317467,18.1935828
-92.7548754,15.0683526
-91.2072515,16.1143482
-91.0873353,16.1238307
-97.3447037,21.0495792
-105.0893033,21.5030076
-103.699835,19.47019
-105.32684,20.45939
-88.319073,18.790625
-88.0727,20.4455
-92.4724388,17.6214048
-94.6850359,16.9080823
-90.8165073,16.0851145
-96.387365,19.41883
-92.000422,17.39336
-96.889329,18.6046014
-105.2810383,20.8112425
-99.61514,21.0398063
-94.08974,17.840154
-105.160201,21.068116
-97.6368355,20.5975946
-86.8772,21.0368
-96.418765,15.89947
-105.836992,23.444392
-106.006166,23.310068
-99.0410185,22.2602649
-88.929775,18.202138
-105.27207,21.60936
-95.0950813,18.6403896
-103.6346233,19.1048682
-88.1431597,21.4464521
